index,tanggal,jumlah pertambahan,jumlah total
1,2-Mar-20,2,2
2,3-Mar-20,0,2
3,4-Mar-20,0,2
4,5-Mar-20,0,2
5,6-Mar-20,2,4
6,7-Mar-20,0,4
7,8-Mar-20,2,6
8,9-Mar-20,13,19
9,10-Mar-20,8,27
10,11-Mar-20,7,34
11,13-Mar-20,35,69
12,14-Mar-20,27,96
13,15-Mar-20,21,117
14,16-Mar-20,17,134
15,17-Mar-20,38,172
16,18-Mar-20,55,227
17,19-Mar-20,82,309
18,20-Mar-20,60,369
19,21-Mar-20,81,450
20,22-Mar-20,64,514
21,23-Mar-20,66,580
22,24-Mar-20,106,686
23,25-Mar-20,104,790
24,26-Mar-20,103,893
25,27-Mar-20,153,1046
26,28-Mar-20,109,1155
27,29-Mar-20,130,1285
28,30-Mar-20,129,1414
29,31-Mar-20,114,1528
30,1-Apr-20,149,1677
31,2-Apr-20,113,1790
32,3-Apr-20,196,1986
33,4-Apr-20,106,2092
34,5-Apr-20,181,2273
35,6-Apr-20,218,2491
36,7-Apr-20,247,2738
37,8-Apr-20,218,2956
38,9-Apr-20,337,3293
39,10-Apr-20,219,3512
40,11-Apr-20,330,3842
41,12-Apr-20,399,4241
42,13-Apr-20,316,4557
43,14-Apr-20,282,4839
44,15-Apr-20,297,5136
45,16-Apr-20,380,5516
